Experiment #8  Min_Sup : 0.1, Min_Conf : 0.95
['休闲小食品', '饼干']  0.174263
['散装休闲食品', '饼干']  0.235925
['进口食品', '饼干']  0.250670
['常温熟食类', '常温乳制品']  0.178284
['调味品', '炒货食品']  0.136729
['常温乳制品', '进口食品']  0.174263
['休闲小食品', '常温乳制品']  0.119303
['常温乳制品', '饮料']  0.211796
['冷藏素食制品', '饮料']  0.191689
['散装休闲食品', '即食主食']  0.253351
['即食主食', '膨化食品']  0.148794
['散装休闲食品', '膨化食品']  0.187668
['常温乳制品', '即食主食']  0.148794
['炒货食品', '即食主食']  0.126005
['进口食品', '即食主食']  0.252011
['常温熟食类', '南北干货']  0.120643
['散装休闲食品', '南北干货']  0.134048
['常温熟食类', '啤酒']  0.101877
['休闲小食品', '即食主食']  0.167560
['散装休闲食品', '啤酒']  0.109920
['南北干货', '进口食品']  0.127346
['冷藏素食制品', '即食主食']  0.123324
['常温熟食类', '休闲小食品']  0.211796
['啤酒', '进口食品']  0.109920
['常温熟食类', '炒货食品']  0.147453
['香烟', '饮料']  0.416890
['饼干', '饮料']  0.312332
['冷藏素食制品', '饼干']  0.113941
['散装休闲食品', '中式糕点']  0.116622
['冷藏乳制品', '即食主食']  0.179625
['中式糕点', '进口食品']  0.115282
['饼干', '即食主食']  0.194370
['冷藏乳制品', '膨化食品']  0.136729
['冷藏乳制品', '饼干']  0.190349
['进口食品', '膨化食品']  0.194370
['饼干', '膨化食品']  0.175603
['冲饮食品', '香烟']  0.131367
['香烟', '冷藏乳制品']  0.148794
['冲饮食品', '膨化食品']  0.124665
['冲饮食品', '休闲小食品']  0.144772
['糖果巧克力', '膨化食品']  0.184987
['休闲小食品', '膨化食品']  0.126005
['饮料', '膨化食品']  0.238606
['中式糕点', '饮料']  0.138070
['杂粮', '即食主食']  0.103217
['散装休闲食品', '杂粮']  0.147453
['调味品', '即食主食']  0.217158
['杂粮', '调味品']  0.128686
['糖果巧克力', '即食主食']  0.225201
['糖果巧克力', '杂粮']  0.120643
['散装休闲食品', '罐头食品']  0.134048
['罐头食品', '进口食品']  0.138070
['冰品', '饮料']  0.182306
['休闲小食品', '调味品']  0.176944
['常温熟食类', '香烟']  0.243968
['炒货食品', '冷藏乳制品']  0.113941
['饮料', '即食主食']  0.332440
['香烟', '即食主食']  0.159517
['香烟', '休闲小食品']  0.120643
['冲饮食品', '常温乳制品']  0.109920
['散装休闲食品', '常温乳制品']  0.178284
['滋补保健品', '进口食品']  0.128686
['散装休闲食品', '滋补保健品']  0.126005
['糖果巧克力', '中式糕点']  0.108579
['常温熟食类', '中式糕点']  0.109920
['冰品', '调味品']  0.116622
['散装休闲食品', '冰品']  0.140751
['糖果巧克力', '冰品']  0.138070
['南北干货', '饮料']  0.155496
['调味品', '饼干']  0.198391
['常温熟食类', '饼干']  0.239946
['休闲小食品', '冷藏乳制品']  0.155496
['杂粮', '进口食品']  0.134048
['常温熟食类', '杂粮']  0.142091
['杂粮', '饮料']  0.163539
['冰品', '冷藏乳制品']  0.105898
['常温乳制品', '膨化食品']  0.116622
['冰品', '进口食品']  0.143432
['调味品', '南北干货']  0.109920
['糖果巧克力', '常温乳制品']  0.144772
['常温乳制品', '冷藏乳制品']  0.126005
['糖果巧克力', '南北干货']  0.107239
['调味品', '常温乳制品']  0.142091
['调味品', '膨化食品']  0.142091
['冲饮食品', '炒货食品']  0.112601
['糖果巧克力', '香烟']  0.199732
['啤酒', '饮料']  0.146113
['常温熟食类', '冰品']  0.135389
['常温熟食类', '膨化食品']  0.183646
['香烟', '膨化食品']  0.113941
['散装休闲食品', '香烟']  0.227882
['香烟', '进口食品']  0.194370
['香烟', '白酒']  0.136729
['冷藏熟食', '即食主食']  0.100536
['滋补保健品', '调味品']  0.116622
['罐头食品', '饼干']  0.112601
['罐头食品', '冷藏乳制品']  0.100536
['调味品', '罐头食品']  0.109920
['常温乳制品', '饼干']  0.123324
['罐头食品', '饮料']  0.166220
['常温熟食类', '罐头食品']  0.135389
['冲饮食品', '即食主食']  0.162198
['冲饮食品', '罐头食品']  0.100536
['罐头食品', '即食主食']  0.104558
['香烟', '调味品']  0.156836
['香烟', '饼干']  0.151475
['常温熟食类', '滋补保健品']  0.127346
['冲饮食品', '饼干']  0.163539
['糖果巧克力', '罐头食品']  0.127346
['冰品', '饼干']  0.116622
['冰品', '即食主食']  0.116622
['炒货食品', '饼干']  0.120643
['冲饮食品', '进口食品', '饮料']  0.210456
['常温熟食类', '冷藏乳制品', '进口食品']  0.184987
['冲饮食品', '散装休闲食品', '常温熟食类']  0.164879
['冷藏素食制品', '散装休闲食品', '进口食品']  0.120643
['冷藏素食制品', '调味品', '进口食品']  0.100536
['常温熟食类', '糖果巧克力', '进口食品']  0.226542
['冲饮食品', '冷藏乳制品', '进口食品']  0.130027
['常温熟食类', '散装休闲食品', '进口食品']  0.247989
['冲饮食品', '调味品', '进口食品']  0.156836
['冲饮食品', '进口食品', '常温熟食类']  0.164879
['冲饮食品', '调味品', '散装休闲食品']  0.158177
['冲饮食品', '调味品', '常温熟食类']  0.148794
['常温熟食类', '调味品', '冷藏乳制品']  0.160858
['冷藏素食制品', '糖果巧克力', '散装休闲食品']  0.109920
['糖果巧克力', '进口食品', '散装休闲食品']  0.239946
['调味品', '冷藏乳制品', '进口食品']  0.158177
['冲饮食品', '冷藏乳制品', '常温熟食类']  0.120643
['冲饮食品', '散装休闲食品', '进口食品']  0.182306
['冷藏素食制品', '糖果巧克力', '进口食品']  0.105898
['常温熟食类', '糖果巧克力', '散装休闲食品']  0.223861
['冷藏素食制品', '调味品', '常温熟食类']  0.100536
['冲饮食品', '调味品', '糖果巧克力']  0.146113
['冷藏素食制品', '冷藏乳制品', '散装休闲食品']  0.101877
['散装休闲食品', '调味品', '冷藏乳制品']  0.168901
['糖果巧克力', '调味品', '散装休闲食品']  0.207775
['常温熟食类', '调味品', '进口食品']  0.207775
['冲饮食品', '调味品', '冷藏乳制品']  0.120643
['糖果巧克力', '调味品', '常温熟食类']  0.191689
['糖果巧克力', '冷藏乳制品', '常温熟食类']  0.166220
['冲饮食品', '冷藏乳制品', '散装休闲食品']  0.130027
['散装休闲食品', '冷藏乳制品', '进口食品']  0.184987
['糖果巧克力', '冷藏乳制品', '进口食品']  0.176944
['散装休闲食品', '调味品', '进口食品']  0.213137
['糖果巧克力', '调味品', '冷藏乳制品']  0.146113
['糖果巧克力', '冷藏乳制品', '散装休闲食品']  0.179625
['糖果巧克力', '调味品', '进口食品']  0.193029
['常温熟食类', '调味品', '散装休闲食品']  0.223861
['冲饮食品', '糖果巧克力', '进口食品']  0.166220
['冷藏素食制品', '进口食品', '常温熟食类']  0.108579
['冲饮食品', '糖果巧克力', '冷藏乳制品']  0.120643
['冲饮食品', '糖果巧克力', '散装休闲食品']  0.167560
['常温熟食类', '冷藏乳制品', '散装休闲食品']  0.186327
['冲饮食品', '糖果巧克力', '常温熟食类']  0.151475
['冷藏素食制品', '散装休闲食品', '常温熟食类']  0.115282
['冷藏素食制品', '调味品', '散装休闲食品']  0.107239
['常温熟食类', '冷藏乳制品', '饮料']  0.225201
['常温熟食类', '调味品', '饮料']  0.264075
['调味品', '冷藏乳制品', '饮料']  0.191689
['常温熟食类', '冷藏熟食', '饮料']  0.109920
['常温熟食类', '进口食品', '饮料']  0.302949
['冷藏熟食', '进口食品', '饮料']  0.105898
['散装休闲食品', '休闲小食品', '饮料']  0.211796
['糖果巧克力', '休闲小食品', '饮料']  0.191689
['散装休闲食品', '炒货食品', '饮料']  0.155496
['散装休闲食品', '进口食品', '饮料']  0.306971
['休闲小食品', '炒货食品', '饮料']  0.116622
['休闲小食品', '炒货食品', '进口食品']  0.111260
['糖果巧克力', '休闲小食品', '进口食品']  0.166220
['糖果巧克力', '进口食品', '饮料']  0.282842
['散装休闲食品', '炒货食品', '进口食品']  0.138070
['糖果巧克力', '炒货食品', '进口食品']  0.131367
['休闲小食品', '进口食品', '饮料']  0.210456
['散装休闲食品', '休闲小食品', '炒货食品']  0.111260
['糖果巧克力', '散装休闲食品', '饮料']  0.288204
['糖果巧克力', '炒货食品', '饮料']  0.146113
['炒货食品', '进口食品', '饮料']  0.160858
['散装休闲食品', '休闲小食品', '糖果巧克力']  0.164879
['散装休闲食品', '休闲小食品', '进口食品']  0.182306
['糖果巧克力', '炒货食品', '散装休闲食品']  0.124665
['冲饮食品', '糖果巧克力', '饮料']  0.194370
['糖果巧克力', '滋补保健品', '饮料']  0.117962
['糖果巧克力', '休闲小食品', '饼干']  0.143432
['糖果巧克力', '进口食品', '饼干']  0.199732
['散装休闲食品', '进口食品', '饼干']  0.197051
['糖果巧克力', '散装休闲食品', '饼干']  0.189008
['调味品', '炒货食品', '饮料']  0.134048
['休闲小食品', '常温乳制品', '饮料']  0.119303
['常温乳制品', '进口食品', '饮料']  0.172922
['休闲小食品', '常温乳制品', '进口食品']  0.107239
['冷藏素食制品', '冷藏乳制品', '饮料']  0.113941
['散装休闲食品', '冷藏乳制品', '饮料']  0.222520
['冷藏素食制品', '散装休闲食品', '饮料']  0.143432
['冷藏素食制品', '糖果巧克力', '饮料']  0.132708
['糖果巧克力', '冷藏乳制品', '饮料']  0.213137
['散装休闲食品', '膨化食品', '即食主食']  0.115282
['散装休闲食品', '进口食品', '即食主食']  0.198391
['常温熟食类', '南北干货', '散装休闲食品']  0.105898
['散装休闲食品', '休闲小食品', '即食主食']  0.139410
['常温熟食类', '进口食品', '即食主食']  0.213137
['休闲小食品', '进口食品', '即食主食']  0.147453
['常温熟食类', '休闲小食品', '进口食品']  0.178284
['散装休闲食品', '炒货食品', '即食主食']  0.108579
['散装休闲食品', '南北干货', '进口食品']  0.111260
['常温熟食类', '散装休闲食品', '即食主食']  0.209115
['冷藏素食制品', '常温熟食类', '即食主食']  0.104558
['炒货食品', '进口食品', '即食主食']  0.112601
['常温熟食类', '休闲小食品', '即食主食']  0.144772
['常温熟食类', '炒货食品', '散装休闲食品']  0.128686
['冷藏素食制品', '散装休闲食品', '即食主食']  0.100536
['散装休闲食品', '休闲小食品', '常温熟食类']  0.172922
['常温熟食类', '炒货食品', '即食主食']  0.108579
['常温熟食类', '炒货食品', '进口食品']  0.126005
['常温熟食类', '南北干货', '进口食品']  0.101877
['散装休闲食品', '进口食品', '膨化食品']  0.152815
['散装休闲食品', '冷藏乳制品', '饼干']  0.152815
['冷藏乳制品', '饼干', '膨化食品']  0.104558
['饼干', '进口食品', '膨化食品']  0.147453
['膨化食品', '进口食品', '即食主食']  0.120643
['散装休闲食品', '冷藏乳制品', '膨化食品']  0.117962
['冷藏乳制品', '进口食品', '即食主食']  0.148794
['冷藏乳制品', '进口食品', '膨化食品']  0.120643
['冷藏乳制品', '饼干', '即食主食']  0.124665
['散装休闲食品', '饼干', '即食主食']  0.154155
['散装休闲食品', '冷藏乳制品', '即食主食']  0.150134
['饼干', '进口食品', '即食主食']  0.159517
['膨化食品', '饼干', '即食主食']  0.112601
['冷藏乳制品', '进口食品', '饼干']  0.158177
['散装休闲食品', '饼干', '膨化食品']  0.138070
['冲饮食品', '散装休闲食品', '饮料']  0.210456
['冲饮食品', '调味品', '饮料']  0.182306
['散装休闲食品', '调味品', '饮料']  0.266756
['冲饮食品', '休闲小食品', '散装休闲食品']  0.126005
['糖果巧克力', '进口食品', '膨化食品']  0.148794
['冲饮食品', '休闲小食品', '糖果巧克力']  0.111260
['休闲小食品', '进口食品', '膨化食品']  0.109920
['冲饮食品', '休闲小食品', '饮料']  0.143432
['冲饮食品', '进口食品', '膨化食品']  0.109920
['冲饮食品', '饮料', '膨化食品']  0.124665
['休闲小食品', '膨化食品', '饮料']  0.121984
['散装休闲食品', '膨化食品', '饮料']  0.180965
['糖果巧克力', '饮料', '膨化食品']  0.179625
['冲饮食品', '糖果巧克力', '膨化食品']  0.100536
['糖果巧克力', '散装休闲食品', '膨化食品']  0.144772
['散装休闲食品', '休闲小食品', '膨化食品']  0.104558
['饮料', '进口食品', '膨化食品']  0.191689
['冲饮食品', '休闲小食品', '进口食品']  0.124665
['糖果巧克力', '杂粮', '散装休闲食品']  0.111260
['散装休闲食品', '杂粮', '调味品']  0.119303
['散装休闲食品', '糖果巧克力', '即食主食']  0.184987
['散装休闲食品', '调味品', '即食主食']  0.176944
['糖果巧克力', '调味品', '即食主食']  0.155496
['冷藏乳制品', '进口食品', '饮料']  0.221180
['冷藏素食制品', '进口食品', '饮料']  0.139410
['散装休闲食品', '罐头食品', '进口食品']  0.117962
['糖果巧克力', '饼干', '膨化食品']  0.136729
['散装休闲食品', '休闲小食品', '调味品']  0.156836
['常温熟食类', '香烟', '饮料']  0.234584
['炒货食品', '冷藏乳制品', '饮料']  0.111260
['中式糕点', '进口食品', '饮料']  0.109920
['常温熟食类', '香烟', '即食主食']  0.108579
['香烟', '饮料', '即食主食']  0.150134
['常温熟食类', '饮料', '即食主食']  0.270777
['散装休闲食品', '常温乳制品', '进口食品']  0.146113
['散装休闲食品', '滋补保健品', '进口食品']  0.107239
['散装休闲食品', '冰品', '糖果巧克力']  0.113941
['散装休闲食品', '冰品', '调味品']  0.100536
['常温熟食类', '冷藏乳制品', '即食主食']  0.151475
['常温熟食类', '调味品', '即食主食']  0.189008
['冷藏素食制品', '即食主食', '饮料']  0.112601
['饮料', '调味品', '即食主食']  0.211796
['冷藏素食制品', '常温熟食类', '饮料']  0.136729
['冷藏素食制品', '调味品', '饮料']  0.126005
['常温熟食类', '调味品', '饼干']  0.159517
['散装休闲食品', '中式糕点', '饮料']  0.111260
['糖果巧克力', '休闲小食品', '冷藏乳制品']  0.120643
['休闲小食品', '冷藏乳制品', '饮料']  0.151475
['饮料', '饼干', '即食主食']  0.189008
['常温熟食类', '饼干', '饮料']  0.237265
['常温熟食类', '饼干', '即食主食']  0.163539
['休闲小食品', '调味品', '即食主食']  0.121984
['休闲小食品', '调味品', '进口食品']  0.158177
['杂粮', '调味品', '进口食品']  0.105898
['常温熟食类', '休闲小食品', '调味品']  0.151475
['常温熟食类', '杂粮', '进口食品']  0.117962
['调味品', '进口食品', '即食主食']  0.174263
['常温熟食类', '杂粮', '调味品']  0.115282
['调味品', '进口食品', '饮料']  0.245308
['糖果巧克力', '调味品', '炒货食品']  0.103217
['散装休闲食品', '常温乳制品', '饮料']  0.175603
['冲饮食品', '炒货食品', '饮料']  0.112601
['散装休闲食品', '休闲小食品', '常温乳制品']  0.103217
['调味品', '进口食品', '膨化食品']  0.120643
['散装休闲食品', '调味品', '炒货食品']  0.119303
['糖果巧克力', '杂粮', '进口食品']  0.101877
['散装休闲食品', '调味品', '常温乳制品']  0.126005
['调味品', '常温乳制品', '饮料']  0.142091
['冲饮食品', '休闲小食品', '调味品']  0.108579
['散装休闲食品', '常温乳制品', '膨化食品']  0.103217
['散装休闲食品', '常温乳制品', '糖果巧克力']  0.126005
['杂粮', '调味品', '饮料']  0.126005
['糖果巧克力', '冰品', '进口食品']  0.112601
['散装休闲食品', '杂粮', '进口食品']  0.120643
['南北干货', '进口食品', '饮料']  0.124665
['冰品', '调味品', '饮料']  0.113941
['散装休闲食品', '南北干货', '饮料']  0.128686
['冰品', '冷藏乳制品', '饮料']  0.103217
['常温乳制品', '冷藏乳制品', '饮料']  0.126005
['休闲小食品', '调味品', '饮料']  0.171582
['休闲小食品', '冷藏乳制品', '进口食品']  0.136729
['冲饮食品', '冷藏乳制品', '饮料']  0.148794
['饮料', '常温乳制品', '膨化食品']  0.116622
['膨化食品', '冷藏乳制品', '饮料']  0.132708
['散装休闲食品', '冰品', '饮料']  0.134048
['糖果巧克力', '杂粮', '饮料']  0.117962
['散装休闲食品', '休闲小食品', '冷藏乳制品']  0.132708
['糖果巧克力', '冰品', '饮料']  0.132708
['糖果巧克力', '调味品', '膨化食品']  0.112601
['冰品', '进口食品', '饮料']  0.140751
['冲饮食品', '常温乳制品', '饮料']  0.108579
['调味品', '南北干货', '饮料']  0.107239
['糖果巧克力', '冷藏乳制品', '膨化食品']  0.108579
['散装休闲食品', '调味品', '膨化食品']  0.113941
['调味品', '常温乳制品', '进口食品']  0.127346
['调味品', '炒货食品', '进口食品']  0.115282
['糖果巧克力', '常温乳制品', '进口食品']  0.124665
['散装休闲食品', '常温乳制品', '冷藏乳制品']  0.109920
['糖果巧克力', '调味品', '饮料']  0.239946
['糖果巧克力', '休闲小食品', '调味品']  0.134048
['休闲小食品', '调味品', '冷藏乳制品']  0.111260
['常温乳制品', '冷藏乳制品', '进口食品']  0.111260
['散装休闲食品', '冰品', '进口食品']  0.117962
['杂粮', '进口食品', '饮料']  0.132708
['糖果巧克力', '调味品', '常温乳制品']  0.105898
['糖果巧克力', '南北干货', '饮料']  0.107239
['糖果巧克力', '常温乳制品', '饮料']  0.143432
['散装休闲食品', '杂粮', '饮料']  0.144772
['饮料', '调味品', '膨化食品']  0.140751
['糖果巧克力', '中式糕点', '饮料']  0.104558
['糖果巧克力', '香烟', '饮料']  0.194370
['常温熟食类', '冰品', '糖果巧克力']  0.107239
['常温熟食类', '冰品', '饮料']  0.135389
['糖果巧克力', '香烟', '常温熟食类']  0.124665
['糖果巧克力', '常温熟食类', '饮料']  0.282842
['饮料', '进口食品', '即食主食']  0.243968
['香烟', '饮料', '膨化食品']  0.111260
['常温熟食类', '常温乳制品', '膨化食品']  0.100536
['散装休闲食品', '常温乳制品', '常温熟食类']  0.150134
['常温熟食类', '常温乳制品', '即食主食']  0.134048
['饮料', '膨化食品', '即食主食']  0.144772
['常温熟食类', '散装休闲食品', '膨化食品']  0.146113
['常温熟食类', '膨化食品', '即食主食']  0.124665
['常温熟食类', '散装休闲食品', '饮料']  0.312332
['散装休闲食品', '香烟', '饮料']  0.217158
['常温熟食类', '饮料', '膨化食品']  0.180965
['饮料', '常温乳制品', '即食主食']  0.146113
['散装休闲食品', '饮料', '即食主食']  0.238606
['散装休闲食品', '常温乳制品', '即食主食']  0.124665
['常温熟食类', '香烟', '散装休闲食品']  0.143432
['常温熟食类', '常温乳制品', '饮料']  0.175603
['香烟', '白酒', '饮料']  0.128686
['香烟', '冷藏乳制品', '饮料']  0.136729
['香烟', '进口食品', '饮料']  0.186327
['散装休闲食品', '香烟', '进口食品']  0.134048
['冷藏乳制品', '即食主食', '饮料']  0.172922
['冷藏熟食', '即食主食', '饮料']  0.100536
['滋补保健品', '调味品', '饮料']  0.116622
['调味品', '饼干', '饮料']  0.197051
['调味品', '冷藏乳制品', '饼干']  0.130027
['罐头食品', '进口食品', '饮料']  0.136729
['罐头食品', '冷藏乳制品', '饮料']  0.100536
['调味品', '罐头食品', '饮料']  0.107239
['进口食品', '调味品', '饼干']  0.166220
['常温乳制品', '进口食品', '饼干']  0.108579
['冷藏乳制品', '饼干', '饮料']  0.186327
['冷藏素食制品', '饼干', '饮料']  0.109920
['饼干', '进口食品', '饮料']  0.246649
['罐头食品', '饼干', '饮料']  0.112601
['常温乳制品', '饼干', '饮料']  0.121984
['散装休闲食品', '休闲小食品', '饼干']  0.146113
['休闲小食品', '饼干', '膨化食品']  0.101877
['常温熟食类', '休闲小食品', '膨化食品']  0.103217
['常温熟食类', '调味品', '膨化食品']  0.116622
['冲饮食品', '进口食品', '即食主食']  0.140751
['休闲小食品', '即食主食', '饮料']  0.158177
['冲饮食品', '饮料', '即食主食']  0.160858
['饮料', '罐头食品', '即食主食']  0.103217
['冲饮食品', '香烟', '饮料']  0.128686
['香烟', '休闲小食品', '饮料']  0.115282
['冲饮食品', '罐头食品', '饮料']  0.100536
['常温熟食类', '香烟', '调味品']  0.109920
['香烟', '饼干', '饮料']  0.148794
['常温熟食类', '南北干货', '饮料']  0.116622
['常温熟食类', '香烟', '饼干']  0.103217
['香烟', '调味品', '饮料']  0.154155
['常温熟食类', '杂粮', '饮料']  0.140751
['常温熟食类', '休闲小食品', '饮料']  0.205094
['常温熟食类', '罐头食品', '饮料']  0.132708
['常温熟食类', '滋补保健品', '进口食品']  0.108579
['散装休闲食品', '滋补保健品', '饮料']  0.124665
['常温熟食类', '滋补保健品', '饮料']  0.127346
['常温熟食类', '滋补保健品', '散装休闲食品']  0.108579
['冲饮食品', '常温熟食类', '饮料']  0.202413
['常温熟食类', '香烟', '进口食品']  0.123324
['滋补保健品', '进口食品', '饮料']  0.127346
['糖果巧克力', '饼干', '饮料']  0.234584
['糖果巧克力', '常温熟食类', '饼干']  0.182306
['糖果巧克力', '冷藏乳制品', '饼干']  0.152815
['糖果巧克力', '香烟', '进口食品']  0.116622
['香烟', '进口食品', '饼干']  0.101877
['常温熟食类', '冷藏乳制品', '饼干']  0.151475
['糖果巧克力', '香烟', '饼干']  0.104558
['常温熟食类', '进口食品', '饼干']  0.195710
['常温熟食类', '休闲小食品', '常温乳制品']  0.105898
['冲饮食品', '休闲小食品', '常温熟食类']  0.117962
['散装休闲食品', '饼干', '饮料']  0.227882
['常温熟食类', '散装休闲食品', '饼干']  0.186327
['常温熟食类', '饼干', '膨化食品']  0.136729
['散装休闲食品', '香烟', '饼干']  0.100536
['饮料', '饼干', '膨化食品']  0.167560
['常温熟食类', '常温乳制品', '进口食品']  0.148794
['常温熟食类', '进口食品', '膨化食品']  0.151475
['常温熟食类', '常温乳制品', '饼干']  0.109920
['散装休闲食品', '常温乳制品', '饼干']  0.104558
['散装休闲食品', '调味品', '饼干']  0.158177
['冲饮食品', '饼干', '饮料']  0.163539
['糖果巧克力', '调味品', '饼干']  0.158177
['常温熟食类', '调味品', '常温乳制品']  0.124665
['糖果巧克力', '常温乳制品', '常温熟食类']  0.126005
['糖果巧克力', '香烟', '散装休闲食品']  0.121984
['常温熟食类', '中式糕点', '饮料']  0.105898
['冲饮食品', '进口食品', '饼干']  0.142091
['冲饮食品', '散装休闲食品', '饼干']  0.134048
['糖果巧克力', '滋补保健品', '进口食品']  0.101877
['冲饮食品', '饼干', '常温熟食类']  0.128686
['调味品', '饼干', '膨化食品']  0.105898
['冲饮食品', '糖果巧克力', '饼干']  0.136729
['散装休闲食品', '香烟', '调味品']  0.107239
['冲饮食品', '饼干', '膨化食品']  0.100536
['冲饮食品', '调味品', '饼干']  0.117962
['常温熟食类', '糖果巧克力', '膨化食品']  0.135389
['常温熟食类', '常温乳制品', '冷藏乳制品']  0.108579
['糖果巧克力', '冷藏乳制品', '即食主食']  0.135389
['糖果巧克力', '饼干', '即食主食']  0.150134
['常温熟食类', '糖果巧克力', '即食主食']  0.184987
['常温熟食类', '啤酒', '饮料']  0.100536
['常温熟食类', '冷藏乳制品', '膨化食品']  0.109920
['糖果巧克力', '进口食品', '即食主食']  0.183646
['糖果巧克力', '常温乳制品', '即食主食']  0.105898
['常温乳制品', '进口食品', '即食主食']  0.126005
['糖果巧克力', '饮料', '即食主食']  0.218499
['啤酒', '进口食品', '饮料']  0.107239
['散装休闲食品', '啤酒', '饮料']  0.107239
['糖果巧克力', '即食主食', '膨化食品']  0.109920
['常温熟食类', '杂粮', '散装休闲食品']  0.127346
['糖果巧克力', '休闲小食品', '即食主食']  0.127346
['糖果巧克力', '休闲小食品', '常温熟食类']  0.150134
['常温熟食类', '罐头食品', '糖果巧克力']  0.101877
['糖果巧克力', '罐头食品', '饮料']  0.127346
['调味品', '饼干', '即食主食']  0.132708
['调味品', '冷藏乳制品', '即食主食']  0.131367
['冰品', '饼干', '饮料']  0.115282
['常温熟食类', '冰品', '进口食品']  0.109920
['休闲小食品', '进口食品', '饼干']  0.151475
['常温熟食类', '休闲小食品', '饼干']  0.139410
['休闲小食品', '饼干', '饮料']  0.168901
['常温熟食类', '休闲小食品', '冷藏乳制品']  0.127346
['冲饮食品', '冷藏乳制品', '饼干']  0.107239
['调味品', '常温乳制品', '即食主食']  0.107239
['散装休闲食品', '罐头食品', '糖果巧克力']  0.105898
['散装休闲食品', '罐头食品', '饮料']  0.131367
['冲饮食品', '饼干', '即食主食']  0.103217
['冲饮食品', '常温熟食类', '即食主食']  0.142091
['冲饮食品', '冷藏乳制品', '即食主食']  0.100536
['冲饮食品', '调味品', '即食主食']  0.120643
['常温熟食类', '冰品', '散装休闲食品']  0.105898
['饮料', '冰品', '即食主食']  0.113941
['休闲小食品', '饼干', '即食主食']  0.113941
['冲饮食品', '休闲小食品', '饼干']  0.100536
['常温熟食类', '调味品', '炒货食品']  0.112601
['常温熟食类', '炒货食品', '饮料']  0.142091
['进口食品', '炒货食品', '饼干']  0.109920
['糖果巧克力', '罐头食品', '进口食品']  0.109920
['炒货食品', '饼干', '饮料']  0.119303
['常温熟食类', '罐头食品', '进口食品']  0.111260
['休闲小食品', '冷藏乳制品', '饼干']  0.115282
['糖果巧克力', '炒货食品', '常温熟食类']  0.112601
['糖果巧克力', '炒货食品', '饼干']  0.104558
['散装休闲食品', '炒货食品', '饼干']  0.100536
