Experiment #2  Min_Sup : 0.05, Min_Conf : 0.85
----------------------------------------------
112 ['休闲小食品', '调味品'] ['常温熟食类'] 0.856060606060606 0.15147453083109919
113 ['炒货食品', '滋补保健品'] ['进口食品'] 0.9090909090909092 0.05361930294906166
114 ['炒货食品', '常温乳制品'] ['进口食品'] 0.901639344262295 0.07372654155495978
115 ['休闲小食品', '常温乳制品'] ['常温熟食类'] 0.8876404494382023 0.10589812332439678
116 ['杂粮', '膨化食品'] ['散装休闲食品'] 0.9206349206349206 0.0777479892761394
117 ['常温乳制品', '杂粮'] ['进口食品'] 0.9122807017543861 0.06970509383378017
118 ['冰品', '常温乳制品'] ['饮料'] 1.0 0.08042895442359249
119 ['冰品', '调味品'] ['饮料'] 0.9770114942528737 0.11394101876675604
120 ['南北干货', '滋补保健品'] ['进口食品'] 0.8837209302325582 0.05093833780160858
121 ['啤酒', '常温熟食类'] ['饮料'] 0.9868421052631579 0.10053619302949061
122 ['休闲小食品', '冰品'] ['散装休闲食品'] 0.8529411764705881 0.0777479892761394
123 ['散装休闲食品', '休闲小食品'] ['饮料'] 0.9575757575757575 0.21179624664879357
124 ['中式糕点', '冷藏乳制品'] ['饮料'] 0.96875 0.08310991957104558
125 ['南北干货', '饼干'] ['饮料'] 0.9838709677419355 0.08176943699731903
126 ['散装休闲食品', '常温熟食类'] ['饮料'] 0.9510204081632653 0.31233243967828417
127 ['散装休闲食品', '滋补保健品'] ['常温熟食类'] 0.8617021276595744 0.10857908847184987
128 ['滋补保健品', '常温熟食类'] ['散装休闲食品'] 0.8526315789473684 0.10857908847184987
129 ['中式糕点', '杂粮'] ['进口食品'] 1.0 0.05227882037533512
130 ['冷藏素食制品', '膨化食品'] ['散装休闲食品'] 0.8550724637681159 0.07908847184986595
131 ['休闲小食品', '罐头食品'] ['饮料'] 0.9718309859154931 0.09249329758713137
132 ['休闲小食品', '啤酒'] ['饮料'] 0.981818181818182 0.07238605898123325
133 ['散装休闲食品', '果酒'] ['饮料'] 0.9743589743589743 0.05093833780160858
134 ['冷藏熟食', '调味品'] ['饮料'] 0.9710144927536232 0.08981233243967829
135 ['中式糕点', '进口食品'] ['饮料'] 0.9534883720930234 0.10991957104557641
136 ['冲饮食品', '冷藏乳制品'] ['饮料'] 0.9652173913043478 0.1487935656836461
137 ['冰品', '冷藏素食制品'] ['饮料'] 0.9666666666666667 0.0777479892761394
138 ['散装休闲食品', '杂粮'] ['常温熟食类'] 0.8636363636363638 0.12734584450402145
139 ['杂粮', '常温熟食类'] ['散装休闲食品'] 0.8962264150943395 0.12734584450402145
140 ['冷藏熟食', '常温乳制品'] ['饮料'] 1.0 0.06836461126005362
141 ['休闲小食品', '杂粮'] ['饮料'] 0.9701492537313433 0.0871313672922252
142 ['炒货食品', '进口食品'] ['饮料'] 0.967741935483871 0.16085790884718498
143 ['杂粮', '即食主食'] ['进口食品'] 0.8571428571428572 0.08847184986595175
